ax,ay,az,gx,gy,gz,dt
0.0694,0.0045,0.9993,0.2591,0.6098,-0.5793,0.012000
0.0703,0.0040,0.9993,0.2820,0.5488,-0.5793,0.012000
0.0704,0.0040,1.0005,0.3430,0.5259,-0.5869,0.012000
0.0695,0.0051,1.0008,0.3430,0.5640,-0.6326,0.012000
0.0697,0.0034,1.0026,0.3125,0.6326,-0.5640,0.012000
0.0687,0.0053,0.9995,0.2973,0.5945,-0.5488,0.012000
0.0699,0.0038,1.0018,0.3201,0.6402,-0.5945,0.012000
0.0712,0.0051,1.0002,0.2058,0.5869,-0.6098,0.012000
0.0692,0.0045,0.9969,0.2744,0.6479,-0.5488,0.012000
0.0699,0.0043,0.9987,0.3201,0.6250,-0.5107,0.012000
0.0695,0.0050,0.9998,0.3125,0.6021,-0.5488,0.012000
0.0688,0.0059,0.9966,0.2820,0.5945,-0.5945,0.012000
0.0708,0.0062,0.9998,0.2668,0.5869,-0.5716,0.012000
0.0690,0.0050,0.9996,0.3277,0.5412,-0.5640,0.012000
0.0694,0.0043,1.0002,0.3430,0.5259,-0.6021,0.012000
0.0674,0.0070,0.9989,0.3125,0.5030,-0.6631,0.012000
0.0673,0.0043,1.0005,0.3277,0.5716,-0.6021,0.012000
0.0691,0.0051,0.9988,0.2896,0.6250,-0.5793,0.012000
0.0711,0.0057,1.0003,0.2820,0.5869,-0.6555,0.012000
0.0693,0.0069,0.9999,0.2820,0.5716,-0.6098,0.012000
0.0685,0.0065,1.0009,0.2744,0.5869,-0.6174,0.012000
0.0698,0.0047,1.0014,0.1982,0.5793,-0.6250,0.012000
0.0692,0.0057,0.9998,0.3125,0.5335,-0.5564,0.012000
0.0707,0.0063,0.9990,0.3506,0.5335,-0.5869,0.012000
0.0687,0.0065,1.0017,0.2515,0.5640,-0.6402,0.012000
0.0685,0.0070,0.9999,0.2058,0.4954,-0.6174,0.012000
0.0682,0.0052,0.9984,0.3277,0.5412,-0.5412,0.012000
0.0689,0.0056,1.0004,0.2744,0.5869,-0.5793,0.012000
0.0703,0.0059,1.0001,0.2515,0.4954,-0.5488,0.012000
0.0679,0.0040,0.9992,0.2439,0.5945,-0.5030,0.012000
0.0685,0.0032,0.9990,0.2363,0.6021,-0.6174,0.012000
0.0712,0.0048,1.0015,0.3201,0.5488,-0.5640,0.012000
0.0721,0.0058,0.9986,0.2210,0.5716,-0.5030,0.012000
0.0699,0.0054,0.9989,0.2744,0.6250,-0.5259,0.012000
0.0687,0.0040,0.9995,0.2973,0.5945,-0.6707,0.012000
